Feature,Importance
curvature,0.3671124111984485
lighting_night,0.26771534693464233
speed_limit,0.2514639398843174
weather_clear,0.07559039212166692
num_reported_accidents,0.036086761931704396
holiday,0.0003578822217660131
num_lanes,0.0003101675445829398
public_road,0.0002837142489757323
weather_foggy,0.0002047792782892084
road_signs_present,0.00011744453794801072
weather_rainy,0.00011151317462515275
time_of_day_evening,9.798247975459965e-05
road_type_urban,8.869468824113515e-05
road_type_rural,8.584984375856585e-05
school_season,7.872315841374612e-05
time_of_day_morning,7.866506804907003e-05
time_of_day_afternoon,7.735260881229549e-05
road_type_highway,7.234031963217114e-05
lighting_dim,3.4350107630308625e-05
lighting_daylight,3.168864874143353e-05
